9 9
150 150
10 12
0 0 0
0 0 0
0 0 0
0 0 0
1 1 0
3 8 1
8 8 1
8 8 1
8 8 1
4 4 0
0 0 0
1 0 0
0 0 0
1 1 0
4 3 0
1 8 1
8 8 1
4 4 0
4 4 0
4 4 0
0 0 0
1 1 0
4 0 0
1 1 0
4 4 0
4 1 0
3 8 1
8 8 1
4 4 0
4 4 0
1 1 0
4 4 0
4 1 0
4 4 0
3 4 0
3 3 0
0 8 1
3 0 1
4 4 0
1 1 0
1 1 0
4 4 0
4 4 0
4 4 0
3 3 0
2 3 1
0 0 0
2 8 1
3 3 0
4 4 0
4 4 0
4 4 0
4 4 0
4 3 0
2 2 1
8 0 1
2 2 1
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
3 2 1
8 8 1
8 2 1
8 8 1
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
4 3 0
1 8 1
8 8 1
8 8 1
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
4 1 0
3 8 1
8 8 1
8 8 1
8 8 1
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
4 3 0
1 8 1
8 8 1
8 8 1
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
4 1 0
3 8 1
8 8 1
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
4 4 0
8 8 1
8 8 1
4 4 0
4 4 0
